schema_version,analysis_class,analysis_id,split_order,split_name,stratum_dimension,stratum_order,stratum_id,stratum_label,method_order,method,metric_order,metric,sequence_count_display,sequence_count,component_count_display,component_count,estimate,ci_lower,ci_upper,bootstrap_iterations,bootstrap_seed,reporting_status
1,confirmatory,v060-length,0,random,length,0,length_050_199,50–199,2,aac-logistic,2,macro_f1,7,7,7,7,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-length,0,random,length,1,length_200_399,200–399,2,aac-logistic,0,accuracy,44,44,43,43,0.25,0.133333333333333,0.391405460060667,2000,2026,reportable
1,confirmatory,v060-length,0,random,length,1,length_200_399,200–399,2,aac-logistic,1,balanced_accuracy,44,44,43,43,0.235014005602241,0.108766917293233,0.385559090909091,2000,2026,reportable
1,confirmatory,v060-length,0,random,length,1,length_200_399,200–399,2,aac-logistic,2,macro_f1,44,44,43,43,0.228191721132898,0.10364004416636,0.349631313131313,2000,2026,reportable
1,confirmatory,v060-length,0,random,length,2,length_400_599,400–599,2,aac-logistic,0,accuracy,11,11,11,11,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-length,0,random,length,2,length_400_599,400–599,2,aac-logistic,1,balanced_accuracy,11,11,11,11,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-length,0,random,length,2,length_400_599,400–599,2,aac-logistic,2,macro_f1,11,11,11,11,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-length,0,random,length,3,length_600_799,600–799,2,aac-logistic,0,accuracy,<5,NA,4,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-length,0,random,length,3,length_600_799,600–799,2,aac-logistic,1,balanced_accuracy,<5,NA,4,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-length,0,random,length,3,length_600_799,600–799,2,aac-logistic,2,macro_f1,<5,NA,4,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-length,0,random,length,4,length_800_1000,800–1000,2,aac-logistic,0,accuracy,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-length,0,random,length,4,length_800_1000,800–1000,2,aac-logistic,1,balanced_accuracy,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-length,0,random,length,4,length_800_1000,800–1000,2,aac-logistic,2,macro_f1,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-length,0,random,length,0,length_050_199,50–199,3,kmer3-logistic,0,accuracy,7,7,7,7,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-length,0,random,length,0,length_050_199,50–199,3,kmer3-logistic,1,balanced_accuracy,7,7,7,7,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-length,0,random,length,0,length_050_199,50–199,3,kmer3-logistic,2,macro_f1,7,7,7,7,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-length,0,random,length,1,length_200_399,200–399,3,kmer3-logistic,0,accuracy,44,44,43,43,0.522727272727273,0.372093023255814,0.674418604651163,2000,2026,reportable
1,confirmatory,v060-length,0,random,length,1,length_200_399,200–399,3,kmer3-logistic,1,balanced_accuracy,44,44,43,43,0.443417366946779,0.321136904761905,0.58877904040404,2000,2026,reportable
1,confirmatory,v060-length,0,random,length,1,length_200_399,200–399,3,kmer3-logistic,2,macro_f1,44,44,43,43,0.415461175461175,0.262962315462315,0.553715582638975,2000,2026,reportable
1,confirmatory,v060-length,0,random,length,2,length_400_599,400–599,3,kmer3-logistic,0,accuracy,11,11,11,11,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-length,0,random,length,2,length_400_599,400–599,3,kmer3-logistic,1,balanced_accuracy,11,11,11,11,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-length,0,random,length,2,length_400_599,400–599,3,kmer3-logistic,2,macro_f1,11,11,11,11,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-length,0,random,length,3,length_600_799,600–799,3,kmer3-logistic,0,accuracy,<5,NA,4,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-length,0,random,length,3,length_600_799,600–799,3,kmer3-logistic,1,balanced_accuracy,<5,NA,4,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-length,0,random,length,3,length_600_799,600–799,3,kmer3-logistic,2,macro_f1,<5,NA,4,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-length,0,random,length,4,length_800_1000,800–1000,3,kmer3-logistic,0,accuracy,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-length,0,random,length,4,length_800_1000,800–1000,3,kmer3-logistic,1,balanced_accuracy,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-length,0,random,length,4,length_800_1000,800–1000,3,kmer3-logistic,2,macro_f1,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-length,0,random,length,0,length_050_199,50–199,4,nearest-homolog,0,accuracy,7,7,7,7,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-length,0,random,length,0,length_050_199,50–199,4,nearest-homolog,1,balanced_accuracy,7,7,7,7,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-length,0,random,length,0,length_050_199,50–199,4,nearest-homolog,2,macro_f1,7,7,7,7,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-length,0,random,length,1,length_200_399,200–399,4,nearest-homolog,0,accuracy,44,44,43,43,0.522727272727273,0.372093023255814,0.674418604651163,2000,2026,reportable
1,confirmatory,v060-length,0,random,length,1,length_200_399,200–399,4,nearest-homolog,1,balanced_accuracy,44,44,43,43,0.371428571428571,0.265,0.491696428571428,2000,2026,reportable
1,confirmatory,v060-length,0,random,length,1,length_200_399,200–399,4,nearest-homolog,2,macro_f1,44,44,43,43,0.363636363636364,0.20903823953824,0.462398640907115,2000,2026,reportable
1,confirmatory,v060-length,0,random,length,2,length_400_599,400–599,4,nearest-homolog,0,accuracy,11,11,11,11,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-length,0,random,length,2,length_400_599,400–599,4,nearest-homolog,1,balanced_accuracy,11,11,11,11,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-length,0,random,length,2,length_400_599,400–599,4,nearest-homolog,2,macro_f1,11,11,11,11,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-length,0,random,length,3,length_600_799,600–799,4,nearest-homolog,0,accuracy,<5,NA,4,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-length,0,random,length,3,length_600_799,600–799,4,nearest-homolog,1,balanced_accuracy,<5,NA,4,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-length,0,random,length,3,length_600_799,600–799,4,nearest-homolog,2,macro_f1,<5,NA,4,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-length,0,random,length,4,length_800_1000,800–1000,4,nearest-homolog,0,accuracy,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-length,0,random,length,4,length_800_1000,800–1000,4,nearest-homolog,1,balanced_accuracy,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-length,0,random,length,4,length_800_1000,800–1000,4,nearest-homolog,2,macro_f1,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-length,0,random,length,0,length_050_199,50–199,5,esm2-35m,0,accuracy,7,7,7,7,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-length,0,random,length,0,length_050_199,50–199,5,esm2-35m,1,balanced_accuracy,7,7,7,7,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-length,0,random,length,0,length_050_199,50–199,5,esm2-35m,2,macro_f1,7,7,7,7,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-length,0,random,length,1,length_200_399,200–399,5,esm2-35m,0,accuracy,44,44,43,43,0.818181818181818,0.697674418604651,0.931818181818182,2000,2026,reportable
1,confirmatory,v060-length,0,random,length,1,length_200_399,200–399,5,esm2-35m,1,balanced_accuracy,44,44,43,43,0.800280112044818,0.658303571428571,0.917905701754386,2000,2026,reportable
1,confirmatory,v060-length,0,random,length,1,length_200_399,200–399,5,esm2-35m,2,macro_f1,44,44,43,43,0.801684981684982,0.650021486643438,0.915647649279341,2000,2026,reportable
1,confirmatory,v060-length,0,random,length,2,length_400_599,400–599,5,esm2-35m,0,accuracy,11,11,11,11,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-length,0,random,length,2,length_400_599,400–599,5,esm2-35m,1,balanced_accuracy,11,11,11,11,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-length,0,random,length,2,length_400_599,400–599,5,esm2-35m,2,macro_f1,11,11,11,11,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-length,0,random,length,3,length_600_799,600–799,5,esm2-35m,0,accuracy,<5,NA,4,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-length,0,random,length,3,length_600_799,600–799,5,esm2-35m,1,balanced_accuracy,<5,NA,4,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-length,0,random,length,3,length_600_799,600–799,5,esm2-35m,2,macro_f1,<5,NA,4,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-length,0,random,length,4,length_800_1000,800–1000,5,esm2-35m,0,accuracy,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-length,0,random,length,4,length_800_1000,800–1000,5,esm2-35m,1,balanced_accuracy,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-length,0,random,length,4,length_800_1000,800–1000,5,esm2-35m,2,macro_f1,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-length,0,random,length,0,length_050_199,50–199,6,esm2-150m,0,accuracy,7,7,7,7,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-length,0,random,length,0,length_050_199,50–199,6,esm2-150m,1,balanced_accuracy,7,7,7,7,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-length,0,random,length,0,length_050_199,50–199,6,esm2-150m,2,macro_f1,7,7,7,7,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-length,0,random,length,1,length_200_399,200–399,6,esm2-150m,0,accuracy,44,44,43,43,0.818181818181818,0.697674418604651,0.930272198731501,2000,2026,reportable
1,confirmatory,v060-length,0,random,length,1,length_200_399,200–399,6,esm2-150m,1,balanced_accuracy,44,44,43,43,0.805042016806723,0.66125365497076,0.921804511278195,2000,2026,reportable
1,confirmatory,v060-length,0,random,length,1,length_200_399,200–399,6,esm2-150m,2,macro_f1,44,44,43,43,0.814285714285714,0.664775790101372,0.92066448759319,2000,2026,reportable
