schema_version,analysis_class,split_order,split_name,method_order,method,label_order,ec_level_2,sequence_count_display,sequence_count,component_count_display,component_count,class_precision,class_recall,class_f1,class_f1_ci_lower,class_f1_ci_upper,dominant_wrong_label,dominant_wrong_count,random_minus_cluster30_class_f1,gap_ci_lower,gap_ci_upper,reporting_status
1,confirmatory,0,random,6,esm2-150m,4,4.1,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,1,cluster70,0,majority,0,2.7,29,29,28,28,0.439393939393939,1,0.610526315789474,0.482758620689655,0.718446601941747,NA,0,NA,NA,NA,reportable
1,confirmatory,1,cluster70,0,majority,1,3.1,13,13,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,1,cluster70,0,majority,2,1.1,9,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,1,cluster70,0,majority,3,2.1,8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,1,cluster70,0,majority,4,4.1,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,1,cluster70,1,length-logistic,0,2.7,29,29,28,28,0.142857142857143,0.03448275862069,0.055555555555556,0,0.171428571428571,2.1,13,NA,NA,NA,reportable
1,confirmatory,1,cluster70,1,length-logistic,1,3.1,13,13,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,1,cluster70,1,length-logistic,2,1.1,9,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,1,cluster70,1,length-logistic,3,2.1,8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,1,cluster70,1,length-logistic,4,4.1,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
