schema_version,analysis_class,analysis_id,split_order,split_name,stratum_dimension,stratum_order,stratum_id,stratum_label,method_order,method,metric_order,metric,sequence_count_display,sequence_count,component_count_display,component_count,estimate,ci_lower,ci_upper,bootstrap_iterations,bootstrap_seed,reporting_status,comparison_split,difference_direction,difference,difference_ci_lower,difference_ci_upper,resampling
1,confirmatory,v060-whole_test,1,cluster70,whole_test,0,whole_test,Whole Test,1,length-logistic,1,balanced_accuracy,66,66,64,64,0.229332449160035,0.124261904761905,0.343207922954128,2000,2026,reportable,cluster70,random_minus_comparison,0.017698202180961,-0.127929934879935,0.139702511568891,independent_component_bootstrap
1,confirmatory,v060-whole_test,1,cluster70,whole_test,0,whole_test,Whole Test,1,length-logistic,2,macro_f1,66,66,64,64,0.142393162393162,0.066591190191629,0.218381306566272,2000,2026,reportable,cluster70,random_minus_comparison,0.028292416803055,-0.091591528427987,0.142115120710988,independent_component_bootstrap
1,confirmatory,v060-whole_test,1,cluster70,whole_test,0,whole_test,Whole Test,2,aac-logistic,0,accuracy,66,66,64,64,0.393939393939394,0.276818181818182,0.507857142857142,2000,2026,reportable,cluster70,random_minus_comparison,-0.106060606060606,-0.272727272727273,0.057451923076923,independent_component_bootstrap
1,confirmatory,v060-whole_test,1,cluster70,whole_test,0,whole_test,Whole Test,2,aac-logistic,1,balanced_accuracy,66,66,64,64,0.359832217590838,0.218346328304049,0.499048813505335,2000,2026,reportable,cluster70,random_minus_comparison,-0.09755378720896,-0.271596063869644,0.089863766980146,independent_component_bootstrap
1,confirmatory,v060-whole_test,1,cluster70,whole_test,0,whole_test,Whole Test,2,aac-logistic,2,macro_f1,66,66,64,64,0.342666214811283,0.216488900015898,0.451652513513225,2000,2026,reportable,cluster70,random_minus_comparison,-0.106310581648928,-0.255148963656886,0.048366920000302,independent_component_bootstrap
1,confirmatory,v060-whole_test,1,cluster70,whole_test,0,whole_test,Whole Test,3,kmer3-logistic,0,accuracy,66,66,64,64,0.46969696969697,0.34375,0.590909090909091,2000,2026,reportable,cluster70,random_minus_comparison,0.015151515151515,-0.158345423233483,0.188155811849842,independent_component_bootstrap
1,confirmatory,v060-whole_test,1,cluster70,whole_test,0,whole_test,Whole Test,3,kmer3-logistic,1,balanced_accuracy,66,66,64,64,0.413545745442297,0.277168761614043,0.54639347635952,2000,2026,reportable,cluster70,random_minus_comparison,-0.003880889225717,-0.179727086849932,0.187622027212683,independent_component_bootstrap
1,confirmatory,v060-whole_test,1,cluster70,whole_test,0,whole_test,Whole Test,3,kmer3-logistic,2,macro_f1,66,66,64,64,0.417608225108225,0.265356182121972,0.547821459666536,2000,2026,reportable,cluster70,random_minus_comparison,-0.060027586729192,-0.229724844982038,0.128204243155455,independent_component_bootstrap
1,confirmatory,v060-whole_test,1,cluster70,whole_test,0,whole_test,Whole Test,4,nearest-homolog,0,accuracy,66,66,64,64,0.606060606060606,0.484375,0.71875,2000,2026,reportable,cluster70,random_minus_comparison,-0.03030303030303,-0.194711717853042,0.141096741158339,independent_component_bootstrap
1,confirmatory,v060-whole_test,1,cluster70,whole_test,0,whole_test,Whole Test,4,nearest-homolog,1,balanced_accuracy,66,66,64,64,0.436630036630037,0.326042016806723,0.550487012987013,2000,2026,reportable,cluster70,random_minus_comparison,-0.070818070818071,-0.218030303030303,0.068558823529412,independent_component_bootstrap
1,confirmatory,v060-whole_test,1,cluster70,whole_test,0,whole_test,Whole Test,4,nearest-homolog,2,macro_f1,66,66,64,64,0.461984126984127,0.305949989803808,0.572035659206596,2000,2026,reportable,cluster70,random_minus_comparison,-0.09291237186586,-0.243727610186721,0.074655526288189,independent_component_bootstrap
1,confirmatory,v060-whole_test,1,cluster70,whole_test,0,whole_test,Whole Test,5,esm2-35m,0,accuracy,66,66,64,64,0.772727272727273,0.666544117647059,0.873283450704225,2000,2026,reportable,cluster70,random_minus_comparison,0.045454545454546,-0.085283898498341,0.186752687610896,independent_component_bootstrap
1,confirmatory,v060-whole_test,1,cluster70,whole_test,0,whole_test,Whole Test,5,esm2-35m,1,balanced_accuracy,66,66,64,64,0.72302218853943,0.576878787878788,0.844886826441103,2000,2026,reportable,cluster70,random_minus_comparison,0.065384615384615,-0.113508213560633,0.233718041016954,independent_component_bootstrap
1,confirmatory,v060-whole_test,1,cluster70,whole_test,0,whole_test,Whole Test,5,esm2-35m,2,macro_f1,66,66,64,64,0.734841502583438,0.572950046852707,0.854433823529412,2000,2026,reportable,cluster70,random_minus_comparison,0.062430904858461,-0.109926225517281,0.237119908483921,independent_component_bootstrap
1,confirmatory,v060-whole_test,1,cluster70,whole_test,0,whole_test,Whole Test,6,esm2-150m,0,accuracy,66,66,64,64,0.848484848484849,0.757575757575758,0.927785326086955,2000,2026,reportable,cluster70,random_minus_comparison,-0.045454545454546,-0.183413461538461,0.081010781429391,independent_component_bootstrap
1,confirmatory,v060-whole_test,1,cluster70,whole_test,0,whole_test,Whole Test,6,esm2-150m,1,balanced_accuracy,66,66,64,64,0.789318344490758,0.663123917748918,0.899576515663737,2000,2026,reportable,cluster70,random_minus_comparison,-0.009946949602122,-0.17652533740769,0.161183053058053,independent_component_bootstrap
1,confirmatory,v060-whole_test,1,cluster70,whole_test,0,whole_test,Whole Test,6,esm2-150m,2,macro_f1,66,66,64,64,0.807065329357549,0.672341119664649,0.907628229069405,2000,2026,reportable,cluster70,random_minus_comparison,-0.023414535706756,-0.193884926756668,0.13527615789084,independent_component_bootstrap
1,confirmatory,v060-whole_test,2,cluster50,whole_test,0,whole_test,Whole Test,0,majority,0,accuracy,66,66,59,59,0.439393939393939,0.313432835820896,0.582089552238806,2000,2026,reportable,cluster50,random_minus_comparison,0,-0.183970433526465,0.176916221033868,independent_component_bootstrap
1,confirmatory,v060-whole_test,2,cluster50,whole_test,0,whole_test,Whole Test,0,majority,1,balanced_accuracy,66,66,59,59,0.2,0.2,0.2,2000,2026,reportable,cluster50,random_minus_comparison,0,0,0,independent_component_bootstrap
1,confirmatory,v060-whole_test,2,cluster50,whole_test,0,whole_test,Whole Test,0,majority,2,macro_f1,66,66,59,59,0.122105263157895,0.094617615077927,0.146534653465347,2000,2026,reportable,cluster50,random_minus_comparison,0,-0.035426842684268,0.033144012944984,independent_component_bootstrap
1,confirmatory,v060-whole_test,2,cluster50,whole_test,0,whole_test,Whole Test,1,length-logistic,0,accuracy,66,66,59,59,0.181818181818182,0.08695652173913,0.296875,2000,2026,reportable,cluster50,random_minus_comparison,0.015151515151515,-0.128293965691902,0.154215343480049,independent_component_bootstrap
1,confirmatory,v060-whole_test,2,cluster50,whole_test,0,whole_test,Whole Test,1,length-logistic,1,balanced_accuracy,66,66,59,59,0.232169171824344,0.12720202020202,0.344970397249809,2000,2026,reportable,cluster50,random_minus_comparison,0.014861479516652,-0.132635857385857,0.146195868535586,independent_component_bootstrap
1,confirmatory,v060-whole_test,2,cluster50,whole_test,0,whole_test,Whole Test,1,length-logistic,2,macro_f1,66,66,59,59,0.147743210506184,0.059042201670109,0.230283269148481,2000,2026,reportable,cluster50,random_minus_comparison,0.022942368690034,-0.102118650646171,0.148873071569482,independent_component_bootstrap
1,confirmatory,v060-whole_test,2,cluster50,whole_test,0,whole_test,Whole Test,2,aac-logistic,0,accuracy,66,66,59,59,0.363636363636364,0.242424242424242,0.483883568548387,2000,2026,reportable,cluster50,random_minus_comparison,-0.075757575757576,-0.237793946249829,0.085487336047038,independent_component_bootstrap
1,confirmatory,v060-whole_test,2,cluster50,whole_test,0,whole_test,Whole Test,2,aac-logistic,1,balanced_accuracy,66,66,59,59,0.380107153383015,0.238504641909814,0.53011541005291,2000,2026,reportable,cluster50,random_minus_comparison,-0.117828723001137,-0.302614751931771,0.066986033363189,independent_component_bootstrap
1,confirmatory,v060-whole_test,2,cluster50,whole_test,0,whole_test,Whole Test,2,aac-logistic,2,macro_f1,66,66,59,59,0.349027951606174,0.216823060173019,0.465899971472248,2000,2026,reportable,cluster50,random_minus_comparison,-0.112672318443819,-0.265450926565078,0.040922691874182,independent_component_bootstrap
1,confirmatory,v060-whole_test,2,cluster50,whole_test,0,whole_test,Whole Test,3,kmer3-logistic,0,accuracy,66,66,59,59,0.46969696969697,0.338235294117647,0.6,2000,2026,reportable,cluster50,random_minus_comparison,0.015151515151515,-0.153846153846154,0.183077659588209,independent_component_bootstrap
1,confirmatory,v060-whole_test,2,cluster50,whole_test,0,whole_test,Whole Test,3,kmer3-logistic,1,balanced_accuracy,66,66,59,59,0.402918824470549,0.259894583146738,0.555887698412698,2000,2026,reportable,cluster50,random_minus_comparison,0.006746031746032,-0.184845399749853,0.188185315338256,independent_component_bootstrap
1,confirmatory,v060-whole_test,2,cluster50,whole_test,0,whole_test,Whole Test,3,kmer3-logistic,2,macro_f1,66,66,59,59,0.389219339909877,0.240639660415862,0.518879072681704,2000,2026,reportable,cluster50,random_minus_comparison,-0.031638701530844,-0.199975327013278,0.148726388802954,independent_component_bootstrap
1,confirmatory,v060-whole_test,2,cluster50,whole_test,0,whole_test,Whole Test,4,nearest-homolog,0,accuracy,66,66,59,59,0.636363636363636,0.515151515151515,0.761194029850746,2000,2026,reportable,cluster50,random_minus_comparison,-0.060606060606061,-0.23689770374553,0.109313199626866,independent_component_bootstrap
1,confirmatory,v060-whole_test,2,cluster50,whole_test,0,whole_test,Whole Test,4,nearest-homolog,1,balanced_accuracy,66,66,59,59,0.483363858363858,0.333565476190476,0.620984126984127,2000,2026,reportable,cluster50,random_minus_comparison,-0.117551892551893,-0.286210164835165,0.053354166666667,independent_component_bootstrap
1,confirmatory,v060-whole_test,2,cluster50,whole_test,0,whole_test,Whole Test,4,nearest-homolog,2,macro_f1,66,66,59,59,0.542882648994557,0.342857068730356,0.668037264537264,2000,2026,reportable,cluster50,random_minus_comparison,-0.17381089387629,-0.345401023921834,0.044906116370599,independent_component_bootstrap
1,confirmatory,v060-whole_test,2,cluster50,whole_test,0,whole_test,Whole Test,5,esm2-35m,0,accuracy,66,66,59,59,0.863636363636364,0.757575757575758,0.953125,2000,2026,reportable,cluster50,random_minus_comparison,-0.045454545454545,-0.181709401709402,0.089642857142857,independent_component_bootstrap
