schema_version,analysis_class,analysis_id,split_order,split_name,stratum_dimension,stratum_order,stratum_id,stratum_label,method_order,method,metric_order,metric,sequence_count_display,sequence_count,component_count_display,component_count,estimate,ci_lower,ci_upper,bootstrap_iterations,bootstrap_seed,reporting_status
1,confirmatory,v060-component_size,0,random,component_size,0,component_singleton,1,2,aac-logistic,1,balanced_accuracy,59,59,59,59,0.296333333333333,0.165239339464883,0.436018217893218,2000,2026,reportable
1,confirmatory,v060-component_size,0,random,component_size,0,component_singleton,1,2,aac-logistic,2,macro_f1,59,59,59,59,0.266687552213868,0.156122070779531,0.37754802187037,2000,2026,reportable
1,confirmatory,v060-component_size,0,random,component_size,1,component_02_04,2–4,2,aac-logistic,0,accuracy,7,7,6,6,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-component_size,0,random,component_size,1,component_02_04,2–4,2,aac-logistic,1,balanced_accuracy,7,7,6,6,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-component_size,0,random,component_size,1,component_02_04,2–4,2,aac-logistic,2,macro_f1,7,7,6,6,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-component_size,0,random,component_size,2,component_05_09,5–9,2,aac-logistic,0,accuracy,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-component_size,0,random,component_size,2,component_05_09,5–9,2,aac-logistic,1,balanced_accuracy,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-component_size,0,random,component_size,2,component_05_09,5–9,2,aac-logistic,2,macro_f1,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-component_size,0,random,component_size,3,component_10_19,10–19,2,aac-logistic,0,accuracy,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-component_size,0,random,component_size,3,component_10_19,10–19,2,aac-logistic,1,balanced_accuracy,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-component_size,0,random,component_size,3,component_10_19,10–19,2,aac-logistic,2,macro_f1,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-component_size,0,random,component_size,4,component_20_plus,20+,2,aac-logistic,0,accuracy,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-component_size,0,random,component_size,4,component_20_plus,20+,2,aac-logistic,1,balanced_accuracy,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-component_size,0,random,component_size,4,component_20_plus,20+,2,aac-logistic,2,macro_f1,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-component_size,0,random,component_size,0,component_singleton,1,3,kmer3-logistic,0,accuracy,59,59,59,59,0.474576271186441,0.355932203389831,0.610169491525424,2000,2026,reportable
1,confirmatory,v060-component_size,0,random,component_size,0,component_singleton,1,3,kmer3-logistic,1,balanced_accuracy,59,59,59,59,0.411,0.303620714534508,0.528486354331942,2000,2026,reportable
1,confirmatory,v060-component_size,0,random,component_size,0,component_singleton,1,3,kmer3-logistic,2,macro_f1,59,59,59,59,0.363619472315124,0.245909967320261,0.484184560709328,2000,2026,reportable
1,confirmatory,v060-component_size,0,random,component_size,1,component_02_04,2–4,3,kmer3-logistic,0,accuracy,7,7,6,6,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-component_size,0,random,component_size,1,component_02_04,2–4,3,kmer3-logistic,1,balanced_accuracy,7,7,6,6,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-component_size,0,random,component_size,1,component_02_04,2–4,3,kmer3-logistic,2,macro_f1,7,7,6,6,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-component_size,0,random,component_size,2,component_05_09,5–9,3,kmer3-logistic,0,accuracy,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-component_size,0,random,component_size,2,component_05_09,5–9,3,kmer3-logistic,1,balanced_accuracy,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-component_size,0,random,component_size,2,component_05_09,5–9,3,kmer3-logistic,2,macro_f1,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-component_size,0,random,component_size,3,component_10_19,10–19,3,kmer3-logistic,0,accuracy,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-component_size,0,random,component_size,3,component_10_19,10–19,3,kmer3-logistic,1,balanced_accuracy,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-component_size,0,random,component_size,3,component_10_19,10–19,3,kmer3-logistic,2,macro_f1,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-component_size,0,random,component_size,4,component_20_plus,20+,3,kmer3-logistic,0,accuracy,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-component_size,0,random,component_size,4,component_20_plus,20+,3,kmer3-logistic,1,balanced_accuracy,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-component_size,0,random,component_size,4,component_20_plus,20+,3,kmer3-logistic,2,macro_f1,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-component_size,0,random,component_size,0,component_singleton,1,4,nearest-homolog,0,accuracy,59,59,59,59,0.542372881355932,0.406779661016949,0.677966101694915,2000,2026,reportable
1,confirmatory,v060-component_size,0,random,component_size,0,component_singleton,1,4,nearest-homolog,1,balanced_accuracy,59,59,59,59,0.341666666666667,0.254545454545455,0.442435064935065,2000,2026,reportable
1,confirmatory,v060-component_size,0,random,component_size,0,component_singleton,1,4,nearest-homolog,2,macro_f1,59,59,59,59,0.338961038961039,0.210987958401751,0.433858585858586,2000,2026,reportable
1,confirmatory,v060-component_size,0,random,component_size,1,component_02_04,2–4,4,nearest-homolog,0,accuracy,7,7,6,6,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-component_size,0,random,component_size,1,component_02_04,2–4,4,nearest-homolog,1,balanced_accuracy,7,7,6,6,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-component_size,0,random,component_size,1,component_02_04,2–4,4,nearest-homolog,2,macro_f1,7,7,6,6,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-component_size,0,random,component_size,2,component_05_09,5–9,4,nearest-homolog,0,accuracy,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
