schema_version,analysis_class,split_order,split_name,stratum_order,stratum_id,measure_order,measure,method_order,method,sequence_count_display,sequence_count,component_count_display,component_count,estimate,ci_lower,ci_upper,reporting_status
1,confirmatory,1,cluster70,0,whole_test,8,identity_mean,4,nearest-homolog,66,66,64,64,0.364714285714286,NA,NA,reportable
1,confirmatory,1,cluster70,0,whole_test,9,identity_p90,4,nearest-homolog,66,66,64,64,0.5441,NA,NA,reportable
1,confirmatory,1,cluster70,0,whole_test,10,identity_p95,4,nearest-homolog,66,66,64,64,0.61145,NA,NA,reportable
1,confirmatory,1,cluster70,0,whole_test,11,identity_max,4,nearest-homolog,66,66,64,64,0.668,NA,NA,reportable
1,confirmatory,1,cluster70,0,whole_test,12,query_coverage_mean,4,nearest-homolog,66,66,64,64,0.961214285714286,NA,NA,reportable
1,confirmatory,1,cluster70,0,whole_test,13,target_coverage_mean,4,nearest-homolog,66,66,64,64,0.961428571428571,NA,NA,reportable
1,confirmatory,1,cluster70,0,whole_test,14,bitscore_mean,4,nearest-homolog,66,66,64,64,236,NA,NA,reportable
1,confirmatory,1,cluster70,0,identity_00_20,15,accuracy,4,nearest-homolog,<5,NA,<3,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,1,cluster70,1,identity_20_30,15,accuracy,4,nearest-homolog,7,7,7,7,NA,NA,NA,insufficient_sequences
1,confirmatory,1,cluster70,2,identity_30_40,15,accuracy,4,nearest-homolog,<5,NA,3,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,1,cluster70,3,identity_40_50,15,accuracy,4,nearest-homolog,<5,NA,<3,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,1,cluster70,4,identity_50_70,15,accuracy,4,nearest-homolog,<5,NA,<3,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,1,cluster70,5,identity_70_100,15,accuracy,4,nearest-homolog,<5,NA,<3,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,1,cluster70,6,no_hit,15,accuracy,4,nearest-homolog,52,52,51,51,0.5,0.352941176470588,0.641509433962264,reportable
1,confirmatory,1,cluster70,0,identity_00_20,15,accuracy,6,esm2-150m,<5,NA,<3,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,1,cluster70,1,identity_20_30,15,accuracy,6,esm2-150m,7,7,7,7,NA,NA,NA,insufficient_sequences
1,confirmatory,1,cluster70,2,identity_30_40,15,accuracy,6,esm2-150m,<5,NA,3,NA,NA,NA,NA,privacy_suppressed
