schema_version,analysis_class,diagnostic_order,diagnostic,split_order,split_name,method_a,method_b,metric_order,metric,accuracy_difference,balanced_accuracy_difference,macro_f1_difference,signs_agree,direction,primary_seed,diagnostic_seed,maximum_lower_shift,maximum_upper_shift,maximum_width_shift,reporting_status
1,confirmatory,27,bootstrap_seed_generalization,3,cluster30,esm2-150m,NA,2,macro_f1,NA,NA,NA,NA,NA,2026,3407;42,0.009435848378095,0.015882055868985,0.02531790424708,reportable
1,confirmatory,28,class_balance_method_difference,0,random,esm2-35m,aac-logistic,NA,NA,0.53030303030303,0.526128373542167,0.560916774279543,true,positive,2026,NA,NA,NA,NA,reportable
1,confirmatory,29,bootstrap_seed_method_difference,0,random,esm2-35m,aac-logistic,0,accuracy,NA,NA,NA,NA,NA,2026,3407;42,0.006060606060606,0.00941391941392,0.01096256684492,reportable
1,confirmatory,30,bootstrap_seed_method_difference,0,random,esm2-35m,aac-logistic,1,balanced_accuracy,NA,NA,NA,NA,NA,2026,3407;42,0.000999494949495,0.007412755762756,0.006928231953232,reportable
1,confirmatory,31,bootstrap_seed_method_difference,0,random,esm2-35m,aac-logistic,2,macro_f1,NA,NA,NA,NA,NA,2026,3407;42,0.012696960319247,0.00230982752676,0.010387132792487,reportable
1,confirmatory,32,class_balance_method_difference,0,random,esm2-35m,kmer3-logistic,NA,NA,0.333333333333333,0.378741947707465,0.439691769062866,true,positive,2026,NA,NA,NA,NA,reportable
1,confirmatory,33,bootstrap_seed_method_difference,0,random,esm2-35m,kmer3-logistic,0,accuracy,NA,NA,NA,NA,NA,2026,3407;42,0.008823529411765,0.014236509758898,0.005412980347133,reportable
1,confirmatory,34,bootstrap_seed_method_difference,0,random,esm2-35m,kmer3-logistic,1,balanced_accuracy,NA,NA,NA,NA,NA,2026,3407;42,0.00436998179024,0.002955037313908,0.006919858671,reportable
1,confirmatory,35,bootstrap_seed_method_difference,0,random,esm2-35m,kmer3-logistic,2,macro_f1,NA,NA,NA,NA,NA,2026,3407;42,0.023095203408088,0.010316506242187,0.022541338321827,reportable
1,confirmatory,36,class_balance_method_difference,0,random,esm2-150m,aac-logistic,NA,NA,0.515151515151515,0.517092964506758,0.547295160488438,true,positive,2026,NA,NA,NA,NA,reportable
