schema_version,analysis_class,split_order,split_name,method_order,method,metric_order,metric,removal_order,removal_count,removed_sequence_count,remaining_sequence_count_display,remaining_sequence_count,remaining_component_count_display,remaining_component_count,estimate,ci_lower,ci_upper,reporting_status
1,confirmatory,0,random,3,kmer3-logistic,2,macro_f1,1,1,2,64,64,64,64,0.352896508949141,0.242600471313752,0.460498321726583,reportable
1,confirmatory,0,random,3,kmer3-logistic,2,macro_f1,2,3,4,62,62,62,62,0.338725816517578,0.225750097006217,0.452653110397043,reportable
1,confirmatory,0,random,3,kmer3-logistic,2,macro_f1,3,5,6,60,60,60,60,0.333621933621934,0.211659977148754,0.451142837554602,reportable
1,confirmatory,0,random,4,nearest-homolog,0,accuracy,0,0,0,66,66,65,65,0.575757575757576,0.447761194029851,0.692307692307692,reportable
1,confirmatory,0,random,4,nearest-homolog,0,accuracy,1,1,2,64,64,64,64,0.5625,0.4375,0.6875,reportable
1,confirmatory,0,random,4,nearest-homolog,0,accuracy,2,3,4,62,62,62,62,0.580645161290323,0.467741935483871,0.709677419354839,reportable
1,confirmatory,0,random,4,nearest-homolog,0,accuracy,3,5,6,60,60,60,60,0.583333333333333,0.45,0.7,reportable
1,confirmatory,0,random,4,nearest-homolog,1,balanced_accuracy,0,0,0,66,66,65,65,0.365811965811966,0.279987179487179,0.456410256410256,reportable
1,confirmatory,0,random,4,nearest-homolog,1,balanced_accuracy,1,1,2,64,64,64,64,0.365811965811966,0.276919191919192,0.455555555555556,reportable
1,confirmatory,0,random,4,nearest-homolog,1,balanced_accuracy,2,3,4,62,62,62,62,0.391208791208791,0.294515151515152,0.490011904761905,reportable
1,confirmatory,0,random,4,nearest-homolog,1,balanced_accuracy,3,5,6,60,60,60,60,0.383333333333333,0.276904761904762,0.49482995951417,reportable
1,confirmatory,0,random,4,nearest-homolog,2,macro_f1,0,0,0,66,66,65,65,0.369071755118267,0.257899986227358,0.450134309967141,reportable
1,confirmatory,0,random,4,nearest-homolog,2,macro_f1,1,1,2,64,64,64,64,0.365895351261205,0.253690609677679,0.44961141953183,reportable
1,confirmatory,0,random,4,nearest-homolog,2,macro_f1,2,3,4,62,62,62,62,0.391565656565657,0.274598039215686,0.476924621563176,reportable
1,confirmatory,0,random,4,nearest-homolog,2,macro_f1,3,5,6,60,60,60,60,0.387689252916356,0.247598879735608,0.477778260869565,reportable
1,confirmatory,0,random,5,esm2-35m,0,accuracy,0,0,0,66,66,65,65,0.818181818181818,0.723076923076923,0.909090909090909,reportable
1,confirmatory,0,random,5,esm2-35m,0,accuracy,1,1,2,64,64,64,64,0.8125,0.71875,0.90625,reportable
1,confirmatory,0,random,5,esm2-35m,0,accuracy,2,3,4,62,62,62,62,0.806451612903226,0.709677419354839,0.903225806451613,reportable
1,confirmatory,0,random,5,esm2-35m,0,accuracy,3,5,6,60,60,60,60,0.816666666666667,0.7,0.9,reportable
1,confirmatory,0,random,5,esm2-35m,1,balanced_accuracy,0,0,0,66,66,65,65,0.788406803924045,0.657422974835095,0.900711244215554,reportable
