schema_version,analysis_class,dimension_order,dimension,stratum_order,stratum_id,split_order,split_name,comparison_order,method_a,method_b,metric_order,metric,point_a,point_b,difference_method_a_minus_method_b,ci_lower,ci_upper,sequence_count_display,sequence_count,component_count_display,component_count,bootstrap_seed,reporting_status
1,confirmatory,0,whole_test,0,whole_test,1,cluster70,4,esm2-150m,esm2-35m,1,balanced_accuracy,0.789318344490758,0.72302218853943,0.066296155951328,-0.020067029744449,0.160469447219447,66,66,64,64,2026,reportable
1,confirmatory,0,whole_test,0,whole_test,1,cluster70,4,esm2-150m,esm2-35m,2,macro_f1,0.807065329357549,0.734841502583438,0.072223826774111,-0.009882841980313,0.165473518394169,66,66,64,64,2026,reportable
1,confirmatory,0,whole_test,0,whole_test,2,cluster50,0,esm2-35m,aac-logistic,0,accuracy,0.863636363636364,0.363636363636364,0.5,0.363603425559947,0.640625,66,66,59,59,2026,reportable
1,confirmatory,0,whole_test,0,whole_test,2,cluster50,0,esm2-35m,aac-logistic,1,balanced_accuracy,0.843652898825313,0.380107153383015,0.463545745442297,0.267903881956823,0.617389683233433,66,66,59,59,2026,reportable
1,confirmatory,0,whole_test,0,whole_test,2,cluster50,0,esm2-35m,aac-logistic,2,macro_f1,0.859952465834819,0.349027951606174,0.510924514228644,0.329053090445024,0.65835731113961,66,66,59,59,2026,reportable
1,confirmatory,0,whole_test,0,whole_test,2,cluster50,1,esm2-35m,kmer3-logistic,0,accuracy,0.863636363636364,0.46969696969697,0.393939393939394,0.265625,0.529411764705882,66,66,59,59,2026,reportable
1,confirmatory,0,whole_test,0,whole_test,2,cluster50,1,esm2-35m,kmer3-logistic,1,balanced_accuracy,0.843652898825313,0.402918824470549,0.440734074354764,0.284271062271062,0.602430506993007,66,66,59,59,2026,reportable
1,confirmatory,0,whole_test,0,whole_test,2,cluster50,1,esm2-35m,kmer3-logistic,2,macro_f1,0.859952465834819,0.389219339909877,0.470733125924942,0.320282100075838,0.623284608951255,66,66,59,59,2026,reportable
1,confirmatory,0,whole_test,0,whole_test,2,cluster50,2,esm2-150m,aac-logistic,0,accuracy,0.863636363636364,0.363636363636364,0.5,0.366197183098592,0.630769230769231,66,66,59,59,2026,reportable
1,confirmatory,0,whole_test,0,whole_test,2,cluster50,2,esm2-150m,aac-logistic,1,balanced_accuracy,0.842525577870405,0.380107153383015,0.46241842448739,0.272711627140975,0.641910561660562,66,66,59,59,2026,reportable
1,confirmatory,0,whole_test,0,whole_test,2,cluster50,2,esm2-150m,aac-logistic,2,macro_f1,0.843852566198104,0.349027951606174,0.49482461459193,0.345221056424523,0.647781255239299,66,66,59,59,2026,reportable
1,confirmatory,0,whole_test,0,whole_test,2,cluster50,3,esm2-150m,kmer3-logistic,0,accuracy,0.863636363636364,0.46969696969697,0.393939393939394,0.253968253968254,0.53125,66,66,59,59,2026,reportable
1,confirmatory,0,whole_test,0,whole_test,2,cluster50,3,esm2-150m,kmer3-logistic,1,balanced_accuracy,0.842525577870405,0.402918824470549,0.439606753399857,0.262853174603175,0.604126890018194,66,66,59,59,2026,reportable
1,confirmatory,0,whole_test,0,whole_test,2,cluster50,3,esm2-150m,kmer3-logistic,2,macro_f1,0.843852566198104,0.389219339909877,0.454633226288227,0.299717531179952,0.618694190480506,66,66,59,59,2026,reportable
1,confirmatory,0,whole_test,0,whole_test,2,cluster50,4,esm2-150m,esm2-35m,0,accuracy,0.863636363636364,0.863636363636364,0,-0.075757575757576,0.072463768115942,66,66,59,59,2026,reportable
1,confirmatory,0,whole_test,0,whole_test,2,cluster50,4,esm2-150m,esm2-35m,1,balanced_accuracy,0.842525577870405,0.843652898825313,-0.001127320954907,-0.106994172494173,0.126199350649351,66,66,59,59,2026,reportable
1,confirmatory,0,whole_test,0,whole_test,2,cluster50,4,esm2-150m,esm2-35m,2,macro_f1,0.843852566198104,0.859952465834819,-0.016099899636715,-0.128943030432475,0.122291938572334,66,66,59,59,2026,reportable
1,confirmatory,0,whole_test,0,whole_test,3,cluster30,0,esm2-35m,aac-logistic,0,accuracy,0.742424242424242,0.318181818181818,0.424242424242424,0.276884057971014,0.579769630110318,66,66,60,60,2026,reportable
1,confirmatory,0,whole_test,0,whole_test,3,cluster30,0,esm2-35m,aac-logistic,1,balanced_accuracy,0.70956275525241,0.243987621573829,0.465575133678582,0.265369047619048,0.63397694375517,66,66,60,60,2026,reportable
1,confirmatory,0,whole_test,0,whole_test,3,cluster30,0,esm2-35m,aac-logistic,2,macro_f1,0.713123522157735,0.245714285714286,0.467409236443449,0.294063569853507,0.622441535232574,66,66,60,60,2026,reportable
1,confirmatory,0,whole_test,0,whole_test,3,cluster30,1,esm2-35m,kmer3-logistic,0,accuracy,0.742424242424242,0.515151515151515,0.227272727272727,0.063467261904762,0.390625,66,66,60,60,2026,reportable
1,confirmatory,0,whole_test,0,whole_test,3,cluster30,1,esm2-35m,kmer3-logistic,1,balanced_accuracy,0.70956275525241,0.419398130605027,0.290164624647383,0.127282179808496,0.453143091008608,66,66,60,60,2026,reportable
1,confirmatory,0,whole_test,0,whole_test,3,cluster30,1,esm2-35m,kmer3-logistic,2,macro_f1,0.713123522157735,0.38857500226593,0.324548519891805,0.150960340802673,0.494309985643838,66,66,60,60,2026,reportable
1,confirmatory,0,whole_test,0,whole_test,3,cluster30,2,esm2-150m,aac-logistic,0,accuracy,0.818181818181818,0.318181818181818,0.5,0.353846153846154,0.63768115942029,66,66,60,60,2026,reportable
1,confirmatory,0,whole_test,0,whole_test,3,cluster30,2,esm2-150m,aac-logistic,1,balanced_accuracy,0.791184581701823,0.243987621573829,0.547196960127995,0.335729492729493,0.70763483044733,66,66,60,60,2026,reportable
1,confirmatory,0,whole_test,0,whole_test,3,cluster30,2,esm2-150m,aac-logistic,2,macro_f1,0.780019165560961,0.245714285714286,0.534304879846676,0.333247595034072,0.681946314618922,66,66,60,60,2026,reportable
1,confirmatory,0,whole_test,0,whole_test,3,cluster30,3,esm2-150m,kmer3-logistic,0,accuracy,0.818181818181818,0.515151515151515,0.303030303030303,0.158730158730159,0.447761194029851,66,66,60,60,2026,reportable
1,confirmatory,0,whole_test,0,whole_test,3,cluster30,3,esm2-150m,kmer3-logistic,1,balanced_accuracy,0.791184581701823,0.419398130605027,0.371786451096796,0.207631668103064,0.524333333333333,66,66,60,60,2026,reportable
1,confirmatory,0,whole_test,0,whole_test,3,cluster30,3,esm2-150m,kmer3-logistic,2,macro_f1,0.780019165560961,0.38857500226593,0.391444163295032,0.223462933067365,0.542666704640389,66,66,60,60,2026,reportable
1,confirmatory,0,whole_test,0,whole_test,3,cluster30,4,esm2-150m,esm2-35m,0,accuracy,0.818181818181818,0.742424242424242,0.075757575757576,-0.015625,0.173913043478261,66,66,60,60,2026,reportable
1,confirmatory,0,whole_test,0,whole_test,3,cluster30,4,esm2-150m,esm2-35m,1,balanced_accuracy,0.791184581701823,0.70956275525241,0.081621826449413,-0.009892857142857,0.166159538737125,66,66,60,60,2026,reportable
1,confirmatory,0,whole_test,0,whole_test,3,cluster30,4,esm2-150m,esm2-35m,2,macro_f1,0.780019165560961,0.713123522157735,0.066895643403227,-0.035608759396797,0.161580062773977,66,66,60,60,2026,reportable
1,confirmatory,1,identity,0,identity_00_20,0,random,0,esm2-35m,aac-logistic,0,accuracy,NA,NA,NA,NA,NA,<5,NA,<3,NA,NA,privacy_suppressed
1,confirmatory,1,identity,0,identity_00_20,0,random,0,esm2-35m,aac-logistic,1,balanced_accuracy,NA,NA,NA,NA,NA,<5,NA,<3,NA,NA,privacy_suppressed
1,confirmatory,1,identity,0,identity_00_20,0,random,0,esm2-35m,aac-logistic,2,macro_f1,NA,NA,NA,NA,NA,<5,NA,<3,NA,NA,privacy_suppressed
1,confirmatory,1,identity,1,identity_20_30,0,random,0,esm2-35m,aac-logistic,0,accuracy,NA,NA,NA,NA,NA,10,10,10,10,NA,insufficient_sequences
1,confirmatory,1,identity,1,identity_20_30,0,random,0,esm2-35m,aac-logistic,1,balanced_accuracy,NA,NA,NA,NA,NA,10,10,10,10,NA,insufficient_sequences
1,confirmatory,1,identity,1,identity_20_30,0,random,0,esm2-35m,aac-logistic,2,macro_f1,NA,NA,NA,NA,NA,10,10,10,10,NA,insufficient_sequences
1,confirmatory,1,identity,2,identity_30_40,0,random,0,esm2-35m,aac-logistic,0,accuracy,NA,NA,NA,NA,NA,<5,NA,<3,NA,NA,privacy_suppressed
1,confirmatory,1,identity,2,identity_30_40,0,random,0,esm2-35m,aac-logistic,1,balanced_accuracy,NA,NA,NA,NA,NA,<5,NA,<3,NA,NA,privacy_suppressed
1,confirmatory,1,identity,2,identity_30_40,0,random,0,esm2-35m,aac-logistic,2,macro_f1,NA,NA,NA,NA,NA,<5,NA,<3,NA,NA,privacy_suppressed
1,confirmatory,1,identity,3,identity_40_50,0,random,0,esm2-35m,aac-logistic,0,accuracy,NA,NA,NA,NA,NA,<5,NA,<3,NA,NA,privacy_suppressed
1,confirmatory,1,identity,3,identity_40_50,0,random,0,esm2-35m,aac-logistic,1,balanced_accuracy,NA,NA,NA,NA,NA,<5,NA,<3,NA,NA,privacy_suppressed
1,confirmatory,1,identity,3,identity_40_50,0,random,0,esm2-35m,aac-logistic,2,macro_f1,NA,NA,NA,NA,NA,<5,NA,<3,NA,NA,privacy_suppressed
1,confirmatory,1,identity,4,identity_50_70,0,random,0,esm2-35m,aac-logistic,0,accuracy,NA,NA,NA,NA,NA,<5,NA,<3,NA,NA,privacy_suppressed
1,confirmatory,1,identity,4,identity_50_70,0,random,0,esm2-35m,aac-logistic,1,balanced_accuracy,NA,NA,NA,NA,NA,<5,NA,<3,NA,NA,privacy_suppressed
1,confirmatory,1,identity,4,identity_50_70,0,random,0,esm2-35m,aac-logistic,2,macro_f1,NA,NA,NA,NA,NA,<5,NA,<3,NA,NA,privacy_suppressed
1,confirmatory,1,identity,5,identity_70_100,0,random,0,esm2-35m,aac-logistic,0,accuracy,NA,NA,NA,NA,NA,<5,NA,<3,NA,NA,privacy_suppressed
1,confirmatory,1,identity,5,identity_70_100,0,random,0,esm2-35m,aac-logistic,1,balanced_accuracy,NA,NA,NA,NA,NA,<5,NA,<3,NA,NA,privacy_suppressed
1,confirmatory,1,identity,5,identity_70_100,0,random,0,esm2-35m,aac-logistic,2,macro_f1,NA,NA,NA,NA,NA,<5,NA,<3,NA,NA,privacy_suppressed
1,confirmatory,1,identity,6,no_hit,0,random,0,esm2-35m,aac-logistic,0,accuracy,0.769230769230769,0.326923076923077,0.442307692307692,0.288461538461538,0.596153846153846,52,52,52,52,2026,reportable
1,confirmatory,1,identity,6,no_hit,0,random,0,esm2-35m,aac-logistic,1,balanced_accuracy,0.727857142857143,0.293809523809524,0.434047619047619,0.253325757575758,0.609402777777778,52,52,52,52,2026,reportable
1,confirmatory,1,identity,6,no_hit,0,random,0,esm2-35m,aac-logistic,2,macro_f1,0.736190476190476,0.252016806722689,0.484173669467787,0.312726998756492,0.645067158487327,52,52,52,52,2026,reportable
