split,support,hit_count,no_hit_count,hit_rate,no_hit_rate,fallback_count,mean_nearest_identity,median_nearest_identity
random,66,14,52,0.21212121212121213,0.78787878787878785,52,0.3378571428571428,0.29199999999999998
cluster70,66,14,52,0.21212121212121213,0.78787878787878785,52,0.36471428571428571,0.32050000000000001
cluster50,66,17,49,0.25757575757575757,0.74242424242424243,49,0.34976470588235292,0.35299999999999998
cluster30,66,8,58,0.12121212121212122,0.87878787878787878,58,0.267125,0.26550000000000001
