interval_family,split,method,method_a,method_b,metric,point_estimate,lower,upper,group_count,seed,iterations,valid_iterations,confidence_level,domain,interval_method,resampling
cell,random,nearest_homolog,,,macro_f1,0.36907175511826679,0.25505667038275737,0.45485246803135754,65,2026,2000,2000,0.94999999999999996,cell:random:macro_f1:nearest_homolog,percentile,component
cell,random,nearest_homolog,,,balanced_accuracy,0.36581196581196579,0.27777777777777779,0.45911363636363628,65,2026,2000,2000,0.94999999999999996,cell:random:balanced_accuracy:nearest_homolog,percentile,component
cell,cluster70,nearest_homolog,,,macro_f1,0.46198412698412694,0.31458206686930096,0.57386571250864327,64,2026,2000,2000,0.94999999999999996,cell:cluster70:macro_f1:nearest_homolog,percentile,component
cell,cluster70,nearest_homolog,,,balanced_accuracy,0.43663003663003658,0.32000000000000001,0.54889225905673267,64,2026,2000,2000,0.94999999999999996,cell:cluster70:balanced_accuracy:nearest_homolog,percentile,component
cell,cluster50,nearest_homolog,,,macro_f1,0.54288264899455718,0.3409117201086721,0.6652456482114375,59,2026,2000,2000,0.94999999999999996,cell:cluster50:macro_f1:nearest_homolog,percentile,component
cell,cluster50,nearest_homolog,,,balanced_accuracy,0.48336385836385831,0.33634396853146853,0.62789121989121977,59,2026,2000,2000,0.94999999999999996,cell:cluster50:balanced_accuracy:nearest_homolog,percentile,component
cell,cluster30,nearest_homolog,,,macro_f1,0.30674733506194174,0.19186048454469506,0.39313041495668011,60,2026,2000,2000,0.94999999999999996,cell:cluster30:macro_f1:nearest_homolog,percentile,component
cell,cluster30,nearest_homolog,,,balanced_accuracy,0.31965811965811963,0.24000000000000005,0.40606060606060607,60,2026,2000,2000,0.94999999999999996,cell:cluster30:balanced_accuracy:nearest_homolog,percentile,component
cell,random,esm2_35m,,,macro_f1,0.79727240744189898,0.66514847496872576,0.89241974253816359,65,2026,2000,2000,0.94999999999999996,cell:random:macro_f1:esm2_35m,percentile,component
cell,random,esm2_35m,,,balanced_accuracy,0.78840680392404539,0.66158689208689203,0.89957236842105259,65,2026,2000,2000,0.94999999999999996,cell:random:balanced_accuracy:esm2_35m,percentile,component
cell,cluster70,esm2_35m,,,macro_f1,0.73484150258343806,0.57231247514740158,0.8500890646579855,64,2026,2000,2000,0.94999999999999996,cell:cluster70:macro_f1:esm2_35m,percentile,component
cell,cluster70,esm2_35m,,,balanced_accuracy,0.7230221885394299,0.5920535714285714,0.84816211685823739,64,2026,2000,2000,0.94999999999999996,cell:cluster70:balanced_accuracy:esm2_35m,percentile,component
cell,cluster50,esm2_35m,,,macro_f1,0.85995246583481877,0.68279885915077676,0.94659512256631317,59,2026,2000,2000,0.94999999999999996,cell:cluster50:macro_f1:esm2_35m,percentile,component
cell,cluster50,esm2_35m,,,balanced_accuracy,0.84365289882531269,0.69086609336609339,0.94444444444444442,59,2026,2000,2000,0.94999999999999996,cell:cluster50:balanced_accuracy:esm2_35m,percentile,component
cell,cluster30,esm2_35m,,,macro_f1,0.71312352215773456,0.56644621221347569,0.81975114314500519,60,2026,2000,2000,0.94999999999999996,cell:cluster30:macro_f1:esm2_35m,percentile,component
cell,cluster30,esm2_35m,,,balanced_accuracy,0.7095627552524103,0.56693468296409477,0.82903784300494809,60,2026,2000,2000,0.94999999999999996,cell:cluster30:balanced_accuracy:esm2_35m,percentile,component
cell,random,esm2_150m,,,macro_f1,0.7836507936507936,0.64069849694933467,0.87496686136320612,65,2026,2000,2000,0.94999999999999996,cell:random:macro_f1:esm2_150m,percentile,component
cell,random,esm2_150m,,,balanced_accuracy,0.77937139488863627,0.65402451533973271,0.88421253089016227,65,2026,2000,2000,0.94999999999999996,cell:random:balanced_accuracy:esm2_150m,percentile,component
cell,cluster70,esm2_150m,,,macro_f1,0.80706532935754949,0.66949078699078701,0.90842857142857136,64,2026,2000,2000,0.94999999999999996,cell:cluster70:macro_f1:esm2_150m,percentile,component
cell,cluster70,esm2_150m,,,balanced_accuracy,0.78931834449075833,0.66068785578747624,0.8983552271483306,64,2026,2000,2000,0.94999999999999996,cell:cluster70:balanced_accuracy:esm2_150m,percentile,component
cell,cluster50,esm2_150m,,,macro_f1,0.84385256619810389,0.712886760281771,0.93392755590144627,59,2026,2000,2000,0.94999999999999996,cell:cluster50:macro_f1:esm2_150m,percentile,component
cell,cluster50,esm2_150m,,,balanced_accuracy,0.84252557787040538,0.71680977982590888,0.94571726190476191,59,2026,2000,2000,0.94999999999999996,cell:cluster50:balanced_accuracy:esm2_150m,percentile,component
cell,cluster30,esm2_150m,,,macro_f1,0.7800191655609614,0.61606780089740676,0.88582654285948448,60,2026,2000,2000,0.94999999999999996,cell:cluster30:macro_f1:esm2_150m,percentile,component
cell,cluster30,esm2_150m,,,balanced_accuracy,0.79118458170182315,0.63448106060606058,0.902984126984127,60,2026,2000,2000,0.94999999999999996,cell:cluster30:balanced_accuracy:esm2_150m,percentile,component
method_comparison,random,,esm2_35m,aac_logistic,macro_f1,0.56091677427954312,0.41579007919003302,0.6929053445596548,65,2026,2000,2000,0.94999999999999996,paired:random:macro_f1:esm2_35m:aac_logistic,percentile,paired
method_comparison,random,,esm2_35m,aac_logistic,balanced_accuracy,0.52612837354216668,0.34829358237547897,0.68766423160173162,65,2026,2000,2000,0.94999999999999996,paired:random:balanced_accuracy:esm2_35m:aac_logistic,percentile,paired
method_comparison,random,,esm2_35m,kmer3_logistic,macro_f1,0.43969176906286633,0.29754456248489913,0.57670421008981676,65,2026,2000,2000,0.94999999999999996,paired:random:macro_f1:esm2_35m:kmer3_logistic,percentile,paired
method_comparison,random,,esm2_35m,kmer3_logistic,balanced_accuracy,0.378741947707465,0.23784199134199147,0.5240708094832135,65,2026,2000,2000,0.94999999999999996,paired:random:balanced_accuracy:esm2_35m:kmer3_logistic,percentile,paired
method_comparison,random,,esm2_150m,aac_logistic,macro_f1,0.54729516048843774,0.39236295637937268,0.68922353229120092,65,2026,2000,2000,0.94999999999999996,paired:random:macro_f1:esm2_150m:aac_logistic,percentile,paired
method_comparison,random,,esm2_150m,aac_logistic,balanced_accuracy,0.51709296450675768,0.32632887700534752,0.69088840081487135,65,2026,2000,2000,0.94999999999999996,paired:random:balanced_accuracy:esm2_150m:aac_logistic,percentile,paired
method_comparison,random,,esm2_150m,kmer3_logistic,macro_f1,0.42607015527176095,0.27715877679156897,0.57279165466397219,65,2026,2000,2000,0.94999999999999996,paired:random:macro_f1:esm2_150m:kmer3_logistic,percentile,paired
